iter	Passed	Remaining
557	27127	45795
558	27176	45747
559	27227	45703
560	27278	45658
561	27329	45614
562	27384	45575
563	27434	45529
564	27483	45482
565	27536	45440
566	27587	45395
567	27636	45346
568	27684	45296
569	27734	45250
570	27784	45203
571	27834	45157
572	27871	45089
573	27926	45051
574	27978	45008
575	28028	44962
576	28079	44917
577	28127	44868
578	28178	44823
579	28229	44778
580	28280	44733
581	28332	44689
582	28381	44641
583	28434	44599
584	28485	44554
585	28538	44511
586	28587	44464
587	28637	44416
588	28688	44371
589	28743	44332
590	28793	44287
591	28847	44246
592	28899	44201
593	28949	44155
594	29001	44111
595	29050	44062
596	29100	44015
597	29151	43971
598	29202	43926
599	29251	43877
600	29302	43832
601	29354	43787
602	29391	43722
603	29426	43652
604	29476	43605
605	29529	43563
606	29589	43531
607	29637	43481
608	29686	43433
609	29737	43387
610	29772	43319
611	29822	43272
612	29859	43205
613	29908	43157
614	29957	43109
615	30006	43060
616	30056	43014
617	30110	42973
618	30160	42926
619	30213	42883
620	30267	42841
621	30317	42795
622	30369	42751
623	30423	42710
624	30474	42664
625	30527	42622
626	30582	42581
627	30633	42535
628	30682	42487
629	30735	42443
630	30774	42382
631	30835	42349
632	30888	42306
633	30943	42267
634	30994	42221
635	31060	42195
636	31109	42146
637	31156	42095
638	31206	42047
639	31254	41998
640	31302	41947
641	31352	41900
642	31401	41851
643	31453	41807
644	31503	41760
645	31556	41716
646	31604	41666
647	31655	41620
648	31705	41573
649	31756	41527
650	31806	41480
651	31857	41434
652	31882	41354
653	31931	41305
654	31984	41262
655	32034	41214
656	32084	41167
657	32136	41122
658	32173	41059
659	32219	41006
660	32268	40957
661	32316	40908
662	32369	40864
663	32416	40813
664	32468	40768
665	32521	40725
666	32573	40680
667	32623	40632
668	32673	40585
669	32723	40538
670	32774	40491
671	32823	40442
672	32872	40395
673	32920	40344
674	32974	40302
675	33035	40268
676	33098	40236
677	33154	40195
678	33217	40164
679	33271	40120
680	33325	40079
681	33379	40036
682	33436	39996
683	33491	39954
684	33552	39920
685	33606	39877
686	33659	39832
687	33715	39791
688	33774	39754
689	33827	39710
690	33884	39670
691	33942	39632
692	33996	39589
693	34050	39545
694	34104	39502
695	34158	39458
696	34209	39411
697	34262	39368
698	34315	39323
699	34367	39277
700	34422	39234
701	34476	39191
702	34534	39152
703	34586	39106
704	34636	39058
705	34688	39012
706	34742	38968
707	34789	38917
708	34838	38867
709	34889	38820
710	34944	38777
711	34997	38732
712	35051	38689
713	35101	38640
714	35150	38591
715	35198	38541
716	35247	38492
717	35294	38440
718	35345	38393
719	35395	38344
720	35445	38296
721	35493	38246
722	35549	38204
723	35598	38155
724	35649	38108
725	35697	38057
726	35746	38007
727	35796	37959
728	35846	37911
729	35893	37860
730	35946	37815
731	35999	37769
732	36052	37725
733	36095	37669
734	36145	37621
735	36193	37570
736	36244	37523
737	36296	37476
738	36348	37431
739	36396	37380
740	36446	37331
741	36498	37285
742	36553	37242
743	36604	37195
744	36655	37147
745	36705	37099
746	36755	37050
747	36803	37000
748	36853	36951
749	36904	36904
750	36956	36857
751	37006	36810
